0105,Intel Corporation
0101,Nokia Corporation
010B,Samsung Electronics
0104,STMicroelectronics N.V.
0102,Texas Instruments Incorporated
0126,Toshiba Corporation
0112,Advanced Micro Devices Inc.
01E1,Advantest
0177,Analog Devices Inc.
0259,Analogix Semiconductor Inc.
02BA,Apple Inc.
0154,Arasan Chip Systems Inc.
0103,ARM Limited
019B,ATMEL
0107,Avago Technologies
0318,Avery Design Systems Inc.
0294,BitifEye Digital Test Solutions GmbH
012D,Broadcom
01C9,Cadence Design Systems Inc.
01FA,Cirrus Logic
01CB,Dialog Semiconductor
0390,DisplayLink Corp.
028A,Faraday Technology Corporation
0272,Google Inc.
01EB,Graphin Co. Ltd.
025A,HDL Design House
01A8,HiSilicon Technologies
011A,Infineon Technologies AG
032B,Introspect Test Technology Inc.
023D,Keysight Technologies Inc.
0191,Knowles Electronics
019E,Lattice Semiconductor Corp.
0155,Lauterbach GmbH
0227,LeCroy
012A,LG Electronics Inc.
01C1,LnK
02ED,M31 Technology Corp
011C,Marvell Semiconductor
019F,Maxim Integrated Products Inc.
0208,MediaTek
0135,MediaTek Inc.
029C,Mentor Graphics Corporation
0133,Micron Technology Inc.
02CB,Microsoft Corporation
0173,Mitsumi Electric Co. Ltd.
0199,Mixel Inc.
020C,Murata Manufacturing
0160,Novatek Microelectronics Corp.
0120,NVIDIA
011B,NXP Semiconductors
0121,OmniVision Technologies Inc.
012E,ON Semiconductor
0298,Parade Technologies Ltd.
02CD,Phison Electronics Corporation
0353,Protocol Insight LLC
03C6,Qorvo US Inc.
0217,Qualcomm Incorporated
01BB,QuickLogic
0276,R2 Semiconductor
025D,Realtek Semiconductor
0266,Renesas Electronics Corporation
03B8,Robert Bosch GmbH
01E4,Silicon Line GmbH
024A,SK Hynix
01A5,Skyworks Solutions Inc.
0281,SmartDV Technologies India
038C,Socionext Inc.
01B0,Sony Corporation
010D,Sony Mobile Communications
01F1,Spreadtrum Communications Shanghai
023C,Synaptics
0148,Synopsys Inc.
01D1,Tektronix Test and Measurement
0179,Teradyne Inc.
02AB,Testronic Laboratories
020A,The Moving Pixel Company
028D,UNH-IOL
0206,VLSI Plus
0131,Western Digital Technologies Inc.
0387,AAC Technologies Pte Ltd.
01F7,ACCO Semiconductors Inc.
0336,Accverinos Co. Ltd.
0261,ACP Advanced Circuit Pursuit
0349,Airoha Technology Corp.
02AE,Alchip Technologies
